V(m/s),rpm,alpha,Cl_mean,Cl_std,Cd_mean,Cm_mean,status
8,60,1.5708,2.290716,1.788069,0.866650,0.009321,OK
8,120,3.1416,5.708526,0.023462,0.141912,0.026684,OK
8,180,4.7124,9.935294,0.022395,0.157836,0.049686,OK
8,240,6.2832,14.779977,0.437189,0.319835,0.079080,OK
8,300,7.8540,18.401164,0.984965,0.594182,0.116234,OK
8,360,9.4248,19.644523,0.787275,0.605690,0.168529,OK
8,420,10.9956,20.707317,0.797768,0.632748,0.233723,OK
8,480,12.5664,21.167748,1.048079,0.552062,0.310634,OK
8,540,14.1372,21.583838,1.425441,0.415341,0.397741,OK
8,600,15.7080,22.253503,1.385246,0.361841,0.497871,OK
10,60,1.2566,1.596286,1.946143,1.051433,0.007023,OK
10,120,2.5133,4.226792,1.171500,0.495479,0.017349,OK
10,180,3.7699,7.290188,0.004872,0.128003,0.034110,OK
10,240,5.0265,10.626628,0.012615,0.171787,0.053752,OK
10,300,6.2832,14.452206,0.344435,0.299649,0.077384,OK
10,360,7.5398,17.880105,0.932326,0.542758,0.104560,OK
10,420,8.7965,19.101555,0.813893,0.613744,0.142351,OK
10,480,10.0531,20.070552,0.797950,0.646487,0.187763,OK
10,540,11.3097,20.766458,0.796463,0.609449,0.240892,OK
10,600,12.5664,21.071152,0.997985,0.541071,0.301667,OK
12,60,1.0472,1.318314,2.226299,1.159075,0.005430,OK
12,120,2.0944,3.314810,1.258008,0.610431,0.013307,OK
12,180,3.1416,5.557544,0.047303,0.149290,0.025278,OK
12,240,4.1888,8.353939,0.003894,0.138312,0.039225,OK
12,300,5.2360,11.041525,0.018763,0.174681,0.056347,OK
12,360,6.2832,14.176899,0.272558,0.284298,0.076102,OK
12,420,7.3304,17.419712,0.829498,0.524894,0.096841,OK
12,480,8.3776,18.858032,1.043534,0.631534,0.126152,OK
12,540,9.4248,19.502737,0.788010,0.610518,0.159973,OK
12,600,10.4720,20.322747,0.836887,0.654184,0.200085,OK
14,60,0.8976,1.308545,2.445416,1.195016,0.004112,OK
14,120,1.7952,2.724202,1.691859,0.867285,0.010399,OK
14,180,2.6928,4.645312,1.137164,0.497995,0.018405,OK
14,240,3.5904,6.621562,0.007204,0.122331,0.030410,OK
14,300,4.4880,9.053820,0.006098,0.144018,0.042935,OK
14,360,5.3856,11.319184,0.012396,0.181043,0.058052,OK
14,420,6.2832,13.952543,0.225932,0.269301,0.074948,OK
14,480,7.1808,17.021967,0.784149,0.518192,0.091922,OK
14,540,8.0784,18.419674,0.962547,0.601175,0.114809,OK
14,600,8.9760,19.093059,0.832273,0.606017,0.142152,OK
16,60,0.7854,1.141080,2.409774,1.272412,0.003311,OK
16,120,1.5708,2.223815,1.900708,0.859981,0.008530,OK
16,180,2.3562,3.775602,1.450567,0.465844,0.015077,OK
16,240,3.1416,5.450353,0.071199,0.151182,0.024353,OK
16,300,3.9270,7.447001,0.004133,0.133486,0.034379,OK
16,360,4.7124,9.522043,0.023760,0.151426,0.045833,OK
16,420,5.4978,11.507493,0.022589,0.184037,0.059225,OK
16,480,6.2832,13.770590,0.195768,0.261547,0.074022,OK
16,540,7.0686,16.770339,0.785265,0.467799,0.088469,OK
16,600,7.8540,18.300746,1.201131,0.474071,0.108238,OK
18,60,0.6981,0.962503,2.440478,1.281831,0.003192,OK
18,120,1.3963,1.894778,1.880918,0.995700,0.007284,OK
18,180,2.0944,3.237118,1.283224,0.622032,0.012534,OK
18,240,2.7925,4.849248,1.123272,0.463257,0.018920,OK
18,300,3.4907,6.229675,0.006647,0.124622,0.028292,OK
18,360,4.1888,8.099194,0.003436,0.136051,0.037476,OK
18,420,4.8869,9.861394,0.017638,0.157875,0.048053,OK
18,480,5.5851,11.637033,0.017626,0.183448,0.060051,OK
18,540,6.2832,13.621148,0.167652,0.253170,0.073163,OK
18,600,6.9813,16.550655,0.702875,0.442082,0.086062,OK
20,60,0.6283,0.843490,2.472851,1.284388,0.002829,OK
20,120,1.2566,1.606273,1.967853,1.066908,0.006128,OK
20,180,1.8850,2.879474,1.798448,0.789435,0.010696,OK
20,240,2.5133,4.034021,1.324951,0.406810,0.016036,OK
20,300,3.1416,5.375391,0.116185,0.163032,0.023692,OK
20,360,3.7699,6.905274,0.003743,0.126282,0.031461,OK
20,420,4.3982,8.598484,0.004771,0.139701,0.039974,OK
20,480,5.0265,10.148513,0.014925,0.163493,0.049743,OK
20,540,5.6549,11.746230,0.022165,0.191848,0.060643,OK
20,600,6.2832,13.489492,0.151866,0.245444,0.072405,OK
